l_ukrainian:
 rival:0 "Суперник"
 COALITIONWITHAGAINST:0 "§Y$MEMBER$§! в коаліції проти держави §Y$TARGET$§!. Якщо один з членів коаліції почне військові дії з державою §Y$TARGET$§!, решта членів теж отримає заклик до зброї."
 ANNEX_IN_PROGRESS:0 "Ми вже анексуємо їх."
 ANNEX_NOT_IN_PROGRESS:0 "Ми їх НЕ анексуємо."
 INTEGRATE_IN_PROGRESS:0 "Ми вже анексуємо їх."
 RELATION_ACTION_CHANGE:0 "§Y$FIRST$§W покращує думку держави §Y$SECOND$§W про себе (§Y$VAL$§W/наступного місяця).\nПокращення відбувається найшвидше, коли їхня думка близько §Y0§!.\n"
 IMPROVERELATIONDESC_NEW:0 "Бажаєте відправити дипломата покращувати наші стосунки з державою §Y$COUNTRY$§W?\nЩойно він прибуде, він почне покращувати наші стосунки з кожним місяцем, нейтральні стосунки змінюються легше."
 CANCEL_IMPROVERELATIONDESC_NEW:0 "Бажаєте відкликати нашого дипломата, який покращує стосунки з державою §Y$COUNTRY$§W?\nКоли він припинить над цим працювати, ефект від його діяльності з часом поступово зникатиме."
 improved_relation:0 "Покращені стосунки"
 WE_INCREASE_RELATIONS:0 "Покращуються стосунки з $LIST$."
 THEY_INCREASE_RELATIONS:0 "Стосунки покращують такі країни: $LIST$."
 ICON_ENFORCE_PEACE:0 "Примусити до миру"
 ICON_ENFORCE_PEACE_COALITION_LEADER:0 "Примушення до миру від лідера коаліції"
 ICON_GRANT_ELECTORATE:0 "Статус курфюрста"
 ICON_GRANT_FREECITY:0 "Статус вільного міста"
 ICON_DEMAND_UNLAWFUL_TERRITORY:0 "Вимагати незаконну територію"
 TRANSFER_TRADE_POWER:0 "Передача Торгового Впливу"
 THEYNOTATWAR:0 "Вони не з ким не воюють!"
 ENFORCEPEACE_CHOOSE_TARGET_NOTSTRONGENOUGH:0 "Ви повинні бути сильнішими за країну, задля якої ви примушуєте до миру!"
 ENFORCEPEACE_NOINTERESTWHITEPEACE:0 "Вибрана держава не зацікавлена у підписанні білого миру зі своїм ворогом."
 DIP_TO_MUCH_MAINT:0 "Ми не можемо собі дозволити додатково §Y$VAL$§W£dip£ щомісяця."
 CANCEL_FABRICATECLAIMTITLE:0 "Скасувати фабрикування претензії"
 CANCEL_FABRICATECLAIMDESC:0 "Припинити фабрикувати проти них претензію"
 CANCEL_JUSTIFY_TRADE_CONFLICTTITLE:0 "Скасувати обґрунтування торговельного конфлікту"
 CANCEL_JUSTIFY_TRADE_CONFLICTDESC:0 "Припинити спроби обґрунтувати торговельний конфлікт"
 JUSTIFY_TRADE_CONFLICT_SELECT_DESC:1 "Обґрунтування торговельного конфлікту зменшить розмір нашої §Y$ADJ|Y$ої§! шпигунської мережі на $COST|R$. Це дозволить нам отримати Casus Belli 'Торговельний конфлікт'."
 FABRICATE_CLAIM_SELECT_DESC:0 "Фабрикування претензії зменшить розмір нашої §Y$ADJ|Y$ої§! шпигунської мережі на $COST|R$ та дасть нам претензію на провінцію §Y$PROV$§W. Претензія буде дійсна протягом $YEARS|Y$ років."
 DIP_DISCOVERY_2:0 "Ризик викриття щомісяця: §Y$VAL$%§W"
 DIP_ENVOY_TIME_PROGRESS:0 "Прогрес: §Y$VAL$%§W"
 MODIFIER_FABRICATE_CLAIMS_TIME:0 "Вартість фабрикування претензій"
 MODIFIER_JUSTIFY_TRADE_CONFLICT_TIME:0 "Вартість обґрунтування торговельного конфлікту"
 CANCEL_FABRICATE_CLAIM_REQUEST:0 "Бажаєте відкликати дипломата, який фабрикує претензію, тим самим припинивши спробу?"
 CANCEL_JUSTIFY_TRADE_CONFLICT_REQUEST:0 "Бажаєте відкликати дипломата, який займається обґрунтуванням торговельного конфлікту, тим самим припинивши спробу?"
 ALREADY_JUSTIFIED_TRADE_CONFLICT:0 "Ми вже маємо Casus Belli §YТорговельний конфлікт§! проти держави §Y$TARGET$§!. Він буде дійсний до §Y$DATE$§!."
 IS_FABRICATING_CLAIM:0 "Фабрикує претензію."
 IS_NOT_FABRICATING_CLAIM:0 "НЕ фабрикує претензію."
 IS_JUSTIFYING_TRADE_CONFLICT:0 "Обґрунтовує торговельний конфлікт."
 IS_NOT_JUSTIFYING_TRADE_CONFLICT:0 "НЕ обґрунтовує торговельний конфлікт."
 TRADE_LEAGUE_MUST_TRANSFER_TO_LEADER:0 "Член торговельної ліги повинен передавати свою торгову силу лідеру ліги."
 TRADE_LEAGUE_WILL_TRANSFER_TO_LEADER:0 "Член торговельної ліги не може більше передавати торгову силу, позаяк мусить передавати її лідеру своєї ліги."
 SUBJECT_MUST_TRANSFER_TO_OVERLORD:0 "$SUBJECT_TYPE$ має передавати Торговий Вплив своєму сюзеренові."
 COLONY_MOST_TRANSFER_TO_OVERLORD:0 "Колонія повинна передавати Торговий Вплив своїй метрополії."
 NO_COMMON_TRADE_NODE:0 "Не має спільного торгового впливу у жодному торговому вузлі."
 IS_TRANSFERING_TRADE_POWER:0 "Вони вже передають нам свій Торговий Вплив."
 IS_NOT_TRANSFERING_TRADE_POWER:0 "Вони не передають нам свій Торговий Вплив."
 TRANSFERING_TO_OTHER:0 "Вони вже передають свій Торговий Вплив державі $WHO$."
 CANT_TRANSFER_TRADE_POWER_SUBJECT_TYPE:0 "$SUBJECTTYPE$ може передавати Торговий Вплив тільки своєму сюзеренові."
 CANT_TRANSFER_TRADE_POWER_PROTECTORATE:0 "Протекторат може передавати Торговий Вплив тільки своєму сюзеренові."
 DIP_DISCOVERY_TIP:0 "Шанс викриття/день: §Y$VAL$§W%"
 DIP_FABRICATE_TIME:0 "Днів до завершення фабрикування: §Y$VAL$§W"
 DIP_FABRICATE_COMPLETION_DATE:0 "Приблизна дата завершення: §Y$DATE$§W"
 SPYACTIONSAGAINST:0 "Поточна ціль таємних операцій з боку $LIST$."
 NO_MODIFIERS:0 "Немає модифікаторів."
 FABRICATE_CLAIM:0 "Сфабрикувати претензію"
 BUILD_SPY_NETWORK:0 "Шпигунська мережа"
 JUSTIFY_TRADE_CONFLICT:0 "Обґрунтувати торг. конфлікт"
 INFILTRATE_ADMINISTRATION:0 "Проникнути в адміністрацію"
 SOW_DISCONTENT:0 "Сіяти невдоволення"
 STUDY_TECHNOLOGY:0 "Технологічний шпіонаж"
 AGITATE_FOR_LIBERTY:0 "Підбурювати до свободи"
 merchants_slandered:0 "Обмовлені купці"
 desc_merchants_slandered:0 "Добре ім'я наших купців було оббрехане іншою державою."
 recruitment_sabotaged:0 "Зірване вербування"
 desc_recruitment_sabotaged:0 "Наші намагання завербувати військо були зірвані іншою державою."
 SABOTAGE_REPUTATION:0 "Псувати репутацію"
 SUPPORT_REBELS:0 "Підтримувати повстанців"
 IS_SUPPORT_REBELS:0 "Підтримує повстанців."
 IS_NOT_SUPPORT_REBELS:0 "НЕ підтримує повстанців."
 LACKING_IDEA:0 "Нам бракує для цього відповідних ідей."
 LACKING_SPECIFIC_IDEA:0 "Для цього ми повинні дослідити ідею $IDEA|Y$."
 LACKING_SPECIAL_IDEA:0 "Нам необхідно мати $NAME|Y$."
 IS_INFILTRATE:0 "Проникає в адміністрацію."
 IS_NOT_INFILTRATE:0 "НЕ проникає в адміністрацію."
 SUPPORT_REBELS_NO_MONEY:0 "Вам бракує $COST$¤, необхідних для підтримки цих повстанців."
 REBEL_SUPPORT_MONEY:0 "Вартість:"
 REBEL_SUPPORT_MONEY_DESC:1 "Ви будете підтримувати повстанців на вказану суму щомісяця. Вартість залежатиме від розміру повстання та вартості вербування в кожній провінції, де вони можуть повстати. Зауважте, справжній розмір повстання може відрізнятися якщо ситуація у цільовій країні зміниться."
 war_goal_take_colony:0 "Захопити колонію $PROV$ на континенті $CONTINENT$"
 war_goal_take_colony_desc:0 "Мета війни – загарбати колонію $PROV$ на континенті $CONTINENT$."
 war_goal_take_core:0 "Захопити національну провінцію $PROV$"
 war_goal_take_core_desc:0 "Мета війни – загарбати національну провінцію $PROV$."
 war_goal_take_border:0 "Захопити прикордонну провінцію $PROV$"
 war_goal_take_border_desc:0 "Мета війни – загарбати прикордонну провінцію $PROV$."
 war_goal_take_province:0 "Захопити $PROV$"
 war_goal_take_province_desc:0 "Мета війни – загарбати провінцію $PROV$."
 war_goal_take_capital:0 "Захопити столицю $CAPITAL$"
 war_goal_take_capital_desc:0 "Мета війни – загарбати столицю держави $COUNTRY$."
 war_goal_blockade_ports:0 "Блокада портів"
 war_goal_blockade_ports_desc:0 "Ваше завдання зашкодити торгівлі вашого ворога, заблокувавши якомога більше їхніх портів."
 defend_capital_independence:0 "Захистити столицю ($CAPITAL$)"
 defend_capital_independence_desc:0 "Мета війни – захистити столицю держави $COUNTRY$."
 war_goal_defend_capital:0 "Захистити столицю ($CAPITAL$)"
 war_goal_defend_capital_desc:0 "Мета війни – захистити столицю держави $COUNTRY$."
 war_goal_defend_country:0 "Захистити державу $COUNTRY$"
 war_goal_defend_country_desc:0 "Мета війни – захистити державу $COUNTRY$."
 war_goal_raid:0 "Грабіж"
 war_goal_raid_desc:0 "Мета війни – розграбувати державу $COUNTRY$."
 war_goal_naval_superiority:0 "Продемонструвати перевагу на морі"
 war_goal_naval_superiority_desc:0 "Мета війни – продемонструвати перевагу на морі. Додаткові бали військового рахунку нараховуються за виграні морські битви. Якщо ви блокуватимете ворожий порт (а ваш опонент – ні), ви здобудете постійний приріст військового рахунку."
 war_goal_superiority:0 "Продемонструвати перевагу"
 war_goal_superiority_desc:1 "Мета війни – продемонструвати військову перевагу. Додаткові бали військового рахунку нараховуються за виграні битви. Ви здобудете постійний приріст військового рахунку, якщо ваш військовий рахунок від перемог в битвах перевищить §Y$THRESHOLD$%§!."
 war_goal_region:0 "Захопити регіон"
 war_goal_region_desc:0 "Мета війни – загарбати певний регіон."
 take_core_defection:0 "Захопити національну провінцію"
 take_core_defection_desc:0 "Мета війни – загарбати національну провінцію цільової держави."
 superiority_loan:0 "Продемонструвати перевагу"
 superiority_loan_desc:0 "Мета війни – продемонструвати вищість над ними, перемагаючи у битвах."
 superiority_spy:0 "Продемонструвати перевагу"
 superiority_spy_desc:0 "Мета війни – продемонструвати цим шпигунам перевагу, перемагаючи у битвах."
 superiority_revolution:0 "Продемонструвати перевагу"
 superiority_revolution_desc:0 "Мета війни – продемонструвати перевагу революції, перемагаючи у битвах."
 take_capital_disloyal:0 "Захопити їхню столицю"
 take_capital_disloyal_desc:0 "Мета війни – захопити столицю цього бунтівного васала."
 defend_country_faith:0 "Захистити від них дружню державу"
 defend_country_faith_desc:0 "Мета війни – захистити державу, яка сповідує однакову з нами релігію."
 take_province_hre:0 "Атакувати СРІ"
 take_province_hre_desc:0 "Мета війни – захопити провінцію, яка є частиною СРІ."
 defend_country:0 "Захистити від них дружню державу"
 defend_country_desc:0 "Мета війни – захистити дружню державу."
 superiority_insult:0 "Продемонструвати перевагу"
 superiority_insult_desc:0 "Мета війни – продемонструвати вищість над ними, перемагаючи у битвах."
 superiority_insult_mutual:0 "Показати цим брехливим собакам хто тут головний"
 superiority_insult_mutual_desc:0 "Мета війни – продемонструвати вищість над ними, перемагаючи у битвах."
 take_capital_personal_union:0 "Захопити столицю"
 take_capital_personal_union_desc:0 "Мета війни – захопити столицю."
 defend_country_soi:0 "Захистити від них дружню державу"
 defend_country_soi_desc:0 "Мета війни – захистити дружню державу."
 take_capital_fabricated_claims:0 "Захопити столицю"
 take_capital_fabricated_claims_desc:0 "Мета війни – захопити столицю."
 take_capital_conformance:0 "Захопити столицю"
 take_capital_conformance_desc:0 "Мета війни – захопити столицю."
 take_border:0 "Загарбати прикордонні провінції"
 take_border_desc:0 "Мета війни – загарбати прикордонну провінцію."
 take_capital_independence:0 "Захопити столицю для здобуття незалежності"
 take_capital_independence_desc:0 "Мета війни – захопити столицю."
 take_capital_conquest:0 "Захопити столицю"
 take_capital_conquest_desc:0 "Мета війни – захопити столицю."
 take_core:0 "Захопити національну провінцію"
 take_core_desc:0 "Мета війни – загарбати нашу національну провінцію у цільової держави."
 take_claim:0 "Захопити провінцію, на яку є претензії"
 take_claim_desc:0 "Мета війни – захопити провінцію цільової держави, на яку ми маємо претензії."
 take_capital_claim:0 "Захопити столицю"
 take_capital_claim_desc:0 "Мета війни – захопити столицю."
 take_capital_punitive:0 "Захопити столицю"
 take_capital_punitive_desc:0 "Мета війни – захопити столицю."
 take_province_nationalist:0 "Захопити провінцію"
 take_province_nationalist_desc:0 "Мета війни – захопити провінцію."
 take_capital_imperial:0 "Захопити столицю"
 take_capital_imperial_desc:0 "Мета війни – захопити столицю."
 take_capital_mayan:0 "Захопити столицю"
 take_capital_mayan_desc:0 "Мета війни – захопити столицю."
 take_province_revolutionary:0 "Захопити провінцію під час цієї революції"
 take_province_revolutionary_desc:0 "Мета війни – захопити будь-яку провінцію."
 take_colony:0 "Захопити колонію"
 take_colony_desc:0 "Мета війни – захопити будь-яку провінцію у колонії."
 take_capital_liberation:0 "Захопити столицю"
 take_capital_liberation_desc:0 "Мета війни – захопити столицю."
 superiority_liberation:0 "Продемонструвати перевагу"
 superiority_liberation_desc:0 "Мета війни – продемонструвати вищість над ними, перемагаючи у битвах."
 superiority_crusade:0 "Показати цим невірним псам хто тут хазяїн"
 superiority_crusade_desc:0 "Мета війни – продемонструвати вищість над ними, перемагаючи у битвах."
 take_province_religion:0 "Захопити провінцію"
 take_province_religion_desc:0 "Мета війни – захопити будь-яку провінцію."
 superiority_heretic:0 "Продемонструвати вищість над ними"
 superiority_heretic_desc:0 "Мета війни – продемонструвати вищість над ними, перемагаючи у битвах."
 superiority_trade:0 "Продемонструвати вищість над ними"
 superiority_trade_desc:0 "Мета війни – продемонструвати вищість над ними, перемагаючи у битвах."
 superiority_trade_mutual:0 "Продемонструвати вищість над ними"
 superiority_trade_mutual_desc:0 "Мета війни – продемонструвати вищість над ними, перемагаючи у битвах."
 take_province_excommunication:0 "Захопити провінцію"
 take_province_excommunication_desc:0 "Мета війни – захопити будь-яку провінцію."
 naval_superiority:0 "Продемонструвати перевагу на морі"
 naval_superiority_desc:0 "Мета війни – продемонструвати перевагу на морі, перемагаючи їх у морських битвах."
 take_province_ban:0 "Захопити провінцію"
 take_province_ban_desc:0 "Мета війни – захопити будь-яку провінцію."
 superiority_punitive:0 "Продемонструвати вищість над ними"
 superiority_punitive_desc:0 "Мета війни – продемонструвати вищість над ними, перемагаючи у битвах."
 superiority_primitives:0 "Продемонструвати вищість над ними"
 superiority_primitives_desc:0 "Мета війни – продемонструвати вищість над ними, перемагаючи у битвах."
 superiority_overseas:0 "Продемонструвати вищість над ними"
 superiority_overseas_desc:0 "Мета війни – продемонструвати вищість над ними, перемагаючи у битвах."
 take_capital_throne:0 "Захопити столицю і трон"
 take_capital_throne_desc:0 "Мета війни – захопити столицю."
 take_capital_vassalize:0 "Захопити столицю та васалізувати їх"
 take_capital_vassalize_desc:0 "Мета війни – захопити столицю."
 raid_horde_conquest:0 "Грабіж"
 raid_horde_conquest_desc:0 "Мета війни – пограбувати їх."
 superiority_horde:0 "Продемонструвати перевагу Орди"
 superiority_horde_desc:0 "Мета війни – продемонструвати вищість над ними, перемагаючи у битвах."
 take_province_tribal_feud:0 "Захопити провінцію"
 take_province_tribal_feud_desc:0 "Мета війни – захопити будь-яку провінцію."
 annex_country:0 "Анексувати державу"
 annex_country_desc:0 "Мета війни – захопити столицю. Ви зможете анексувати вибрану державу, навіть якщо інші правителі будуть проти."
 war_goal_change_government:0 "Змінити форму уряду країни"
 war_goal_change_government_desc:0 "Мета війни – захопити столицю. Ви матимете змогу примусити їх змінити форму правління на таку, як і у вас."
 war_goal_change_government_mutual:0 "Змінити форму уряду країни"
 war_goal_change_government_mutual_desc:0 "Мета війни – захопити столицю. Ви матимете змогу примусити їх змінити форму правління на таку, як і у вас."
 CHANGE_GOVERNMENT_WAR_NAME:0 "$ORDER$$FIRST$а зміна форми уряду держави $SECOND_NAME$"
 superiority_chinese_unification:0 "Завоювання Китаю"
 superiority_chinese_unification_desc:0 "Мета війни – продемонструвати нашу військову перевагу над іншими китайськими державами."
 CHINESE_UNIFICATION_WAR_NAME:0 "$ORDER$$FIRST$о-$SECOND$а війна за гегемонію у Китаї"
 CELESTIAL_EMPIRE_WAR_NAME:0 "$ORDER$$FIRST$о-$SECOND$а війна за Небесний Мандат"
 FORCE_MIGRATION_WAR_NAME:0 "$ORDER$$FIRST$о-$SECOND$а війна за примусове виселення"
 IN_WARGOAL_COST:1 "Є частиною мети цієї війни і не призведе до зростання вартості (£dip£) пропозиції миру для держави $WHO|Y$!"
 NOT_IN_WARGOAL_COST:0 "Не є частиною мети цієї війни і призведе до збільшення вартості пропозиції миру на §Y$COST$§!£dip£ для держави $WHO|Y$!"
 UNLAWFUL_TERRITORY_WARN:0 "§RНезаконні території. Імператор може пред'явити вимоги щодо їхнього повернення!§!"
 UNLAWFUL_TERRITORY_WARN_DELAY:0 "Оскільки ця провінція є частиною імперії і не є вашою національною, вона вважатиметься незаконною територією, якщо ви її загарбаєте."
 RELEASE_NATION_BY_WHOM:0 "З територій держави $RELEASER$ буде утворено державу $NEW_NATION$"
 PEACEOFFER_LEADER_NO_DEMAND:0 "$WHO|Y$ не дозволяє лідеру цієї війни вимагати для них провінції!"
 PEACEOFFER_IS_ANNEX:0 "Ви не можете вимагати анексію та провінції в одному мирному договорі, тому що максимальний воєнний рахунок не може перевищити 100% за окупацію всіх провінцій противника. Спробуйте сепаратний мир."
 PEACEOFFER_INFLATION:0 "Це призведе до $INFLATION$ інфляції у державі $ACTIVE$."
 SELLPROV_INFLATION:0 "Коштуватиме нам §R$AMT$§! престижу та призведе до $INFLATION$ інфляції у державі $ACTIVE$."
 SELLPROV_INFLATION_HORDE:0 "Це призведе до $INFLATION$ інфляції у державі $ACTIVE$."
 PEACEOFFER_WARGOAL_COST:0 "Коштуватиме §G$COST$§!£dip£."
 PEACEOFFER_WARGOAL_COST_CANTAFFORD:0 " Коштуватиме §R$COST$§!£dip£ (недостатньо балів!)."
 PEACEOFFER_WARGOAL_PROV_COST_DESC:0 "Вимагання провінції $PROV$ коштуватиме §Y$COST$§!£dip£."
 PEACEOFFER_WARGOAL_COST_DESC:0 "Загальна вартість: §Y$COST$§!£dip£."
 PEACEOFFER_WARGOAL_NOCOST_DESC:0 "Жоден з варіантів цього мирного договору не виходить за межі мети цієї війни."
 PEACE_RETURN_CORES:0 "Повернути національні провінції"
 PEACEOFFER_TRANSFER_S:0 "Передати суб'єкт"
 PEACEOFFER_TRANSFER:0 "Передати суб'єкт – державу $COUNTRY$"
 PEACEOFFER_RELEASE:0 "Звільнити $COUNTRY$"
 PEACEOFFER_RETURN_CORES_TO:0 "$PROV$ державі $COUNTRY$"
 PEACEOFFER_REVOKE_CORES_ON:0 "Анулювати $ADJ$у національність в провінції $PROV$"
 PEACEOFFER_TRUCE:0 "Цей договір встановить перемир'я до §Y$DATE$§W."
 DEMAND_PROVINCE_TOOLTIP:0 "§Y$PROVINCE$§W стане частиною держави §Y$COUNTRY$§W."
 REVOKE_CORE_TOOLTIP:0 "§Y$COUNTRY$§W анулює свою національність у провінції §Y$PROVINCE$§W. ЇЇ поточним власником є $OWNER$."
 RELEASE_VASSAL_TOOLTIP:0 "§Y$VASSAL$§W перестане бути васалом держави §Y$OVERLORD$§W."
 TRANSFER_VASSAL_TOOLTIP:0 "Держава §Y$VASSAL$§W більше не буде суб'єктом держави §Y$OVERLORD$§W, натомість вона стане суб'єктом держави $NEW|Y$."
 PEACEOFFER_TRANSFER_TXT:0 "@$FLAG$ $OVERLORD$ий васал"
 GIVE_UP_CLAIMS_TOOLTIP:0 "Держава $WHO$ та всі її суб'єкти відмовляться від всіх претензій на землі держави $TARGET$."
 RETURN_CORE_TOOLTIP:0 "§Y$COUNTRY$§W віддає свою національну провінцію §Y$PROVINCE$§! державі §Y$TO$§!."
 WEHAVEIMPERIALRELATION:0 "Ми вже покращили наші імперські стосунки з цією державою!"
 BREAK_ALLIANCE_WAR:0 "Ваша стабільність зміниться на §R-$VAL$§! за розрив альянсу під час війни."
 SUPPORTED_REBEL_FACTION:0 "Ці повстанці отримують §Y+$AMT$%§! до щомісячного шансу прогресу завдяки підтримці від держави $WHO|Y$."
 reputation_sabotaged:0 "Репутацію зіпсовано"
 desc_reputation_sabotaged:0 "Іноземні шпигуни зіпсували нашу дипломатичну репутацію."
 break_marriage:0 "Розірвали династичний шлюб"
 break_alliance:0 "Розірвали альянс"
 break_alliance_war:0 "Розірвали альянс під час війни"
 FABRICATECLAIMS_TARGET:0 "Сфабрикувати претензію на §Y$TARGET$§!."
 CV_DIPLOMACY_NOTDISCOVEREDCOUNTRY:0 "Ви ще не відкрили державу §Y$COUNTRY$§!!"
 CV_DIPLOMACY_WARSCORE_TITLE:0 "$SIDE$ проти держави §Y$WHO$§! у війні за '§Y$WAR$§!'."
 RM_ACTIVITY:0 "Укласти династичний шлюб"
 WAR_ACTIVITY:0 "Оголосити війну"
 PEACE_ACTIVITY:0 "Запропонувати мир."
 ALLIANCE_ACTIVITY:0 "Підтримати альянс."
 CANCELALIANCE_ACTIVITY:0 "Розірвати альянс."
 EMBARGO_ACTIVITY:0 "Накласти ембарго."
 REVOKEEMBARGO_ACTIVITY:0 "Зняти ембарго."
 ANNEX_ACTIVITY:0 "Анексувати країну."
 SUBJUGATION_WAR_NAME:0 "$ORDER$$FIRST$а війна за підкорення держави $SECOND$."
 OUR_SPY_VALUES:0 "Ефективність захисту нашої країни складає $DEF|Y$ та визначає наш шанс на викриття і зрив діяльності іноземних агентів, які працюють над створенням шпигунської мережі у нашій державі.\n$DEF_MOD$Наші шпигуни працюють з $OFF|Y$ ефективністю. Це обумовлює швидкість, з якою ми можемо будувати шпигунську мережу в інших державах.\n$OFF_MOD$"
 THEIR_SPY_VALUES:0 "Ефективність захисту їхньої країни складає $DEF|Y$ та визначає їхній шанс на викриття і зрив діяльності іноземних агентів, які працюють над створенням шпигунської мережі у їхній державі.\n$DEF_MOD$Їхні шпигуни працюють з $OFF|Y$ ефективністю. Це обумовлює швидкість, з якою вони можуть будувати шпигунську мережу в інших державах.\n$OFF_MOD$"
 OUR_ACTIVE_SPYNETWORKS:0 "Ми тримаємо такі шпигунські мережі активними:\n$COUNTRIES$"
 STATUS_QUO:0 "Status Quo"
 SIEGE_DISEASE:0 "Спалах епідемії"
 PROVINCES:0 "Провінції"
 GIVE_UP_CORES:0 "Національні провінції"
 CANCEL_VASSALS:0 "Васали"
 RELEASE_NATIONS:0 "Нові нації"
 SEND_OFFER:0 "Послати пропозицію"
 SEND_DEMAND:0 "Послати вимогу"
 CANCEL_OFFER:0 "Скасувати"
 ANNEX_NATION:0 "Анексія"
 DEMAND_PEACE:0 "Вимагати"
 OFFER_WP:0 "Запропонувати білий мир"
 OFFER_PEACE:0 "Пропонувати"
 BACK:0 "Назад"
 BUILDSPYNETWORK_DISCOV:0 "Оскільки наших пшигунів було викрито, ми не можемо засилати сюди шпигунів до $WHEN|Y$."
 SPYNETWORK_DIPLO:0 "Поточний розмір нашої §Y$ADJ|Y$ої§! шпигунської мережі дорівнює $SIZE|Y$ від максимуму у §Y100§!."
 SPYNETWORK_BENEFITS:0 "Це дає нам такі переваги:"
 SPYNETWORK_BENEFITS_SIEGE:0 "  $AMT$ до здібності осади проти держави $WHO|Y$"
 SPYNETWORK_BENEFITS_AE:0 "  $AMT$ агресивного розширення, набутого від держави $WHO|Y$"
 SPYNETWORK_BENEFITS_TECH_MIL:0 "  $AMT$ вартості Військових технологій"
 SPYNETWORK_BENEFITS_TECH_DIP:0 "  $AMT$ вартості Дипломатичних технологій"
 SPYNETWORK_BENEFITS_TECH_ADM:0 "  $AMT$ вартості Адміністративних технологій"
 SPYNETWORK_BENEFITS_TECH:0 "§YТільки найбільша знижка на вартість технологій серед усіх ваших шпигунських мереж враховується під час покупки технологій.§!"
 SPYNETWORK_OUTLINER:1 "Поточний розмір нашої §Y$ADJ|Y$ої§! шпигунської мережі дорівнює $SIZE|Y$ від максимуму у §Y100§!."
 SPYNETWORK_OUTLINER_PLUS:0 "Вона збільшуватиметься на $AMT|G$ щомісяця."
 SPYNETWORK_OUTLINER_MINUS:0 "Вона зменшуватиметься на $AMT|R$ щомісяця."
 BUILDSPYNETWORKTITLE:0 "Будувати шпигунську мережу"
 BUILDSPYNETWORK_DESC:0 "Розудувати мережу шпигунів та інформаторів у вибраній державі."
 CANCEL_BUILDSPYNETWORK_DESC:0 "Припинити будівництво мережі шпигунів та інформаторів у вибраній державі."
 CANCEL_BUILDSPYNETWORKTITLE:0 "Припинити будівництво шпигунської мережі"
 BUILDSPYNETWORK_LONG_DESC_1:0 "Надіслати дипломата для будівництва мережі шпигунів та інформаторів у державі $COUNTRY|Y$?"
 BUILDSPYNETWORK_LONG_DESC_1_SUBJECTS:0 "Надіслати дипломата для будівництва мережі шпигунів та інформаторів у державі $COUNTRY|Y$ та її підлеглих державах ($SUBJECTS$)?"
 BUILDSPYNETWORK_LONG_DESC_2:0 "Вони збільшуватимуть розмір нашої шпигунської мережі на $AMT|G$ щомісяця.\n\nПоки наш агент активний і розмір шпигунської мережі перевищує §Y25§!, існує §R$RISK$%§! ризик викриття щомісяця. Якщо нас буде викрито, це зруйнує наші стосунки з вибраною державою, зменшить розмір нашої мережі та завадить її подальшому зростанню на якийсь час."
 CANCEL_BUILDSPYNETWORK_LONG_DESC:0 "Відкликати агентів, що будують нашу мережу шпигунів та інформаторів у державі $COUNTRY|Y$? Наша існуюча мережа поступово занепадатиме, коли не буде будуватися."
 COUNTERESPIONAGE_OUTLINER:0 "$NAME$ проводить контррозвідку у провінції $PROV|Y$ ($COUNTRY|Y$). Це збільшує наші шанси на викриття ворожого агента, якого вони заслали до нас, на $AMT$."
 COUNTERESPIONAGE_NO_SUBJECT:1 "Ми, як залежна держава, не можемо провадити контррозвідку."
 COUNTERESPIONAGETITLE:0 "Контррозвідка"
 COUNTERESPIONAGE_DESC:0 "Надіслати дипломата проводити контррозвідку у вибраній державі."
 CANCEL_COUNTERESPIONAGE_DESC:0 "Відкликати вашого дипломата, який проводить контррозвідку у вибраній державі."
 CANCEL_COUNTERESPIONAGETITLE:0 "Припинити контррозвідку"
 COUNTERESPIONAGE_LONG_DESC:1 "Відправити дипломата проводити контррозвідку у державі $COUNTRY|Y$? Це збільшить наші шанси викриття агентів, яких вони заслали до нас, на $AMT$ та уповільнить їхню мережу на $SLOW$."
 CANCEL_COUNTERESPIONAGE_LONG_DESC:0 "Відкликати нашого дипломата, який проводить контррозвідку у державі $COUNTRY|Y$? Ми втратимо підвищені шанси викриття їхніх агентів."
 NEGOTIATE_SEPARATE_PEACE_WITH:0 "Домовитися про сепаратний мир з державою $COUNTRY|Y$."
 NEGOTIATE_PEACE_WITH_WARLEADER:0 "Домовитися про мир з усім альянсом через домовленість з лідером війни – державою $COUNTRY|Y$."
 PO_PD_100:0 "Сер, ми отримали розгромну перемогу над державою $ENEMY$ та маємо можливість їх анексувати. Проте це вельми засмутить решту світу, яка сповідує $RELIGION$."
 PO_PD_70:0 "Ви здобули розгромну перемогу. Ви можете вимагати кілька провінцій, велику суму дукатів, або продиктувати інші умови."
 PO_PD_40:0 "Ви здобули повну перемогу. Вимогу передати провінцію, швидше за все, буде прийнято."
 PO_PD_10:0 "Ви здобули перемогу. Ворог, швидше за все, прийме білий мир, або незначну суму дукатів в обмін на мир."
 PO_PD_NEG_5:0 "Долю війни ще не визначено. Якщо тільки ваш ворог не буде прагнути продовжувати битися, він, ймовірно, прийме пропозицію білого миру."
 PO_PD_NEG_25:0 "Ворог здобув перемогу. Вам слід запропонувати їм незначну суму дукатів, або провінцію, без якої ви зможете жити в обмін на мир."
