l_english:

 revolution.30.name:0 "[Root.philosopher_dude.GetName] фонтанує ідеями"
 center_of_revolution.1000.desc:0 "A philosopher from [Root.GetCapitalName], [Root.first_center_revolutionary_philosopher.GetName], has published several treatises criticising the inequalities in [Root.Owner.GetUsableName] and calling for a new "social contract". Disputing the divine right of monarchs to rule as they see fit, he proclaims that sovereignty lies with the people and that ultimate power over the laws and policies of the land must lie with them.\n\nHis thesis is highly popular among the middle class entrepreneurs and literati, who have taken to spreading his ideas via pamphlets that call for popular mobilization against absolute power. Already, they are winning supporters across [Root.GetContinentName] as the first sparks of Revolution are born."
 center_of_revolution.1000.A:0 "Це струсоне всіх..."
 center_of_revolution.1001.name:0 "Революційний факел знову запалено"
 center_of_revolution.1001.desc:1 "Following the failure of revolutionary efforts in [first_revolution_center.GetCapitalName], the established order across [Root.GetContinentName] breathed a sigh of relief, thinking the challenge to their status had been overcome and things could return to normal. However, it now seems they were premature: the middle classes of [Root.GetCapitalName] have taken up the revolutionary ideals of [first_revolution_center.first_center_revolutionary_philosopher.GetName] and seek to succeed where their forerunners failed, liberating the third estate from the excesses of absolute power."
 center_of_revolution.1001.A:1 "Їх чекає та ж доля, що й місто [first_revolution_center.GetCapitalName]!"
 center_of_revolution.1001.B:0 "Хай живе революція!"
 center_of_revolution.1500.name:0 "Кінець революції"
 center_of_revolution.1500.desc:0 "Війська держави [From.GetUsableName] повністю розтрощили революційну [Root.GetAdjective]у революційну армію! Оскільки ідеалістів нещадно винищують, мовчазна більшість почала витирати пил зі своїх старих монархічних символів."
 center_of_revolution.1500.A:0 "Хай живе король!"

 center_of_revolution.2000.name:0 "Обмежити торгівлю зерном?"
 center_of_revolution.2000.desc:0 "Grain merchants have long suffered under the harsh restrictions placed on their trade, among them price controls and checks on the purity of their wares. They have come forwards with a proposal to greatly increase their profits - and in turn our tax revenues - from the grain trade by implementing a laissez-faire policy, in essence lifting most restrictions imposed on them.\n\nHowever, others point out that these restrictions are intended to guarantee the people edible food at affordable prices, and that many see the grain merchants as "the cruellest enemies of the people", thought to mix their flour with chalk or ground up bones, and actively inflate prices to make money off the suffering of the people. This being the case, it may be risky to be seen to give the grain merchants free rein..."
 center_of_revolution.2000.A:0 "Хай вони роблять, як їм заманеться."
 center_of_revolution.2000.B:0 "Немає необхідності змінювати діючі домовленості."
 center_of_revolution.2001.name:0 "Борошняні війни"
 center_of_revolution.2001.desc:0 "The last winter was particularly harsh, and the spring harvest has been poor so far. [Root.GetUsableName]’s cereal reserves are exhausted; the people face starvation. Grain merchants have exacerbated the situation by hording their supplies in the hope that prices will rise further. Anger at the [Root.Monarch.GetTitle] is spreading like wildfire as agitators remind the people of [Root.Monarch.GetHerHis] recent decision to relax restrictions placed on grain merchants - restrictions they claim would have prevented this situation from arising. They demand that the reforms be reversed, and that grain be distributed to the people to alleviate their suffering."
 center_of_revolution.2001.A:0 "Ми не можемо терпіти ці страждання, і робити те, що вони говорять!"
 center_of_revolution.2001.B:0 "Економічний лібералізм - це майбутнє, ми не повинні стояти на шляху прогресу."
 laissez_faire_grain_trade:0 "Торгівля зерном за принципом Laissez-Faire"
 desc_laissez_faire_grain_trade:0 "Ми відпустили віжки продавцям зерна, щоб отримати якомога більше прибутку від продажу борошна."
 revolutionary_sentiment_warning:0 "§RВибір цього варіанту збільшить ймовірність виникнення Центру революції в державі [Root.GetName].§!\n"
 laissez_faire_grain_trade_tooltip:0 "Всі наші провінції, які виробляють §YЗерно§!і які належать до культурної групи §Y[Root.Culture.GetGroupName]§! отримають приріст §G+50%§! до ефективності місцевого виробництва на наступні 5 років."
 laissez_faire_grain_trade_removed_tooltip:0 "Модифікатор "§YТоргівля зерном за принципом Laissez-Faire§!" видаляється з усіх провінцій культурної групи §Y[Root.Culture.GetGroupName]§!, які виробляють §YЗерно§!."

 center_of_revolution.2002.name:0 "[Root.GetUsableNameCap]'s National Debt"
 center_of_revolution.2002.desc:0 "Incessant conflicts and a straggling economy have combined to leave the [Root.Monarch.GetTitle] high levels of debt that many fear will never be repaid. With the servicing of these debts costing an ever-increasing share of the national budget, the council of ministers has been convened to seek a solution. While all rule out a default as a desirable option, some advocate a rise in taxes, whereas others point out that this would be unpopular with the common people and instead favor more wide-ranging reforms to improve [Root.GetUsableName]'s budgetary processes."
 center_of_revolution.2002.A:0 "Більш високі податки допоможуть повернути наші борги."
 center_of_revolution.2002.B:0 "Відповідь криється в фінансових реформах."
 revolution_higher_taxes_for_debts:0 "Надзвичайні податки"
 desc_revolution_higher_taxes_for_debts:0 "Державний борг повинен бути погашений коштом важкої праці простих людей."
 revolution_administrative_reforms:0 "Бюджетні реформи"
 desc_revolution_administrative_reforms:0 "Завдяки амбітній програмі бюджетних реформ довіра до фінансового сектору поступово завойовується."

 center_of_revolution.2003.name:0 "[Root.Adm_Advisor.GetName] проводить реформи"
 center_of_revolution.2003.desc:0 "The needs of the modern, absolutist state are far greater than those of our ancestors. This is particularly true in the case of the state's finances. It is therefore lucky that we employ the eminent financial reformer, [Root.Adm_Advisor.GetName], who has the full confidence of the financial sector.\n\nRecently, however, [Root.Adm_Advisor.GetSheHe] has come to desire more. Demanding overarching powers to implement new policies, [Root.Adm_Advisor.GetSheHe] proposes an ambitious set of reforms that might just prove beneficial for the state but will certainly increase the standing of our finance minister..."
 center_of_revolution.2003.A:0 "Дайте [Root.Adm_Advisor.GetHerHim] повну свободу дій."
 center_of_revolution.2003.B:0 "Неприпустимо! Вигнати [Root.Adm_Advisor.GetHerHim] з нашої адміністрації!"

 center_of_revolution.2010.name:0 "Вимоги третього стану"
 center_of_revolution.2010.desc:0 "Протягом останніх років [Root.GetBurghersName] все більше не вдовольняються своїм статусом в державі [Root.GetUsableName]. Попри те, що їхній внесок до скарбниці через податки на виробництво і торгівлю становить більшу частину доходів держави, вони мають недостатній вплив на керування нею. Насправді, вони з тривогою дивилися на те, як [Root.Monarch.GetTitleKHTO] прокладає шлях до все більшої централізації королівської влади, обмежуючи можливості стримувань і противаг, котрі колись могли нав'язати [Root.Monarch.GetHerHim] стани.\n\nТепер вони висунули вимоги про скасування деяких абсолютистських реформ останніх років і надання їм додаткових земель як компенсації за їхній внесок. У разі відмови, їх розчарування посилиться, а довіра до уряду зруйнована."
 center_of_revolution.2010.A:0 "Поступиться їхнім вимогам."
 center_of_revolution.2010.B:0 "Ми з цим не погоджуємося."

 has_parliament_with_at_least_one_seat:0 "§Y[Root.GetName]§! має Парламент, де є щонайменше одне місце"

 reactionaries_failed:0 "Провал реакційних сил"
 desc_reactionaries_failed:0 "Вкорінені реакційні сили в цій державі вели запеклу громадянську війну, щоб перешкодити революціонерам прийти до влади. Хоча в кінцевому підсумку вони зазнали невдачі, нація як і раніше розділена на тих, хто підтримував революцію і тих, хто виступав проти неї."

 revolution.1.A:0 "Ми повинні поставити цих випанків на місце!"
 revolution.1.B:0 "Можливо, вони праві..."
 revolution_disaster_go_for_it_tooltip:0 "§Y[Root.GetName] стане революційною республікою. Реакціонери намагатимуться скасувати цю зміну.§!\n"
 the_revolution_will_succeed:0 "§YРеволюція вдасться\n§!"
 revolution.9.won_revolution:0 "З перемогою наших революційних сил безладдя останніх років підійшло до кінця. Тепер ми можемо сподіватися на світліше майбутнє для людей держави [Root.GetName]."
 revolution.9.lost_revolution:0 "Солдати Революції були розчавлені! Тепер наш народ повинен змиритися з подальшим правлінням [Root.Monarch.GetTitleOGO]..."
 revolution.9.won_reactionary:0 "Ми придушили випанків-революціонерів! Влада [Root.Monarch.GetTitleOGO] більше не заперечується..."
 revolution.9.lost_reactionary:0 "От лихо! Випанки-революціонери перемогли законний уряд нашої держави. Зрештою, можливо, стабільність минулого повернеться"
 revolution.9.A:0 "Радіймо перемозі!"
 revolution.9.B:0 "Принаймні конфлікт закінчився..."
 add_as_much_revolutionary_zeal_as_you_can_take:0 "Революційне завзяття в державі §Y[Root.GetName]§! встановлено на максимум."
 remove_revolution_from_all_provinces:0 "Революційні настрої видаляються з усіх належних нам провінцій.\nВоно не повернеться до них, поки ми ними володіємо."
 french_revolution.10.name:0 "Наслідки республіканських воєн"
 french_revolution.11.name:0 "Люди втомилися від війни"
 french_revolution.12.name:0 "Наші скрині порожні"
 french_revolution.13.name:0 "Стан фінансів республіки"
 french_revolution.14.name:0 "Поширення опозиції в Республіці"
 french_revolution.15.name:0 "Республіка в смуті"
 french_revolution.16.name:0 "Поширення розчарування в Веспубліці"
 french_revolution.18.e:0 "Принаймні конфлікт закінчився..."
 french_revolution.18.f:0 "Радіймо перемозі!"

 center_of_revolution.1600.name:0 "Революціонерів переможено"
 center_of_revolution.1600.desc:0 "Поразка революційних сил в державі [From.GetName] - це серйозний удар по їх справі. Через їхню нездатність зробити переворот в державі, багато хто з їхніх колишніх прихильників у всьому регіоні [From.GetRegionName] втратили віру в успіх революції, підкорившись вимогам уряду."
 center_of_revolution.1600.A:0 "За [Root.Monarch.GetTitleOGO]!"
 root_is_most_powerful_in_europe:0 "§Y[Root.GetName]§! є найпотужнішою нацією в  §YЄвропі§!."
 root_is_most_powerful_in_europe_2:0 "Як піддані наймогутнішої нації в §YЄвропі§!, наші занепадні громадяни бажають більшої свободи."

 center_of_revolution.2950.name:0 "Революція в небезпеці"
 center_of_revolution.2950.desc:0 "За останні десять років революція зазнала численні невдачі. Без лідера вона руйнується і напевно загине, якщо нам не вдасться пожвавити рух."
 center_of_revolution.2950.A:0 "Тривожно."
 center_of_revolution.2950.A.tt:0 "§YЯкщо жодна країна не претендує на звання Революційної цілі протягом наступних 10 років, революція закінчиться і держава [Root.GetName] повернеться до Парламентської республіки.§!"
 center_of_revolution.3000.name:0 "Кінець революцій"
 center_of_revolution.3000.desc.last_rev:1 "Після падіння [last_revolutionary_country.GetAdjective]ої революції ніхто не наважився підхопити їх прапор або вести боротьбу з контрреволюційними силами. Ті, хто колись прагнув до радикальних змін, тепер змирилися зі старою приказкою: Чим більше речі змінюються, тим більше вони залишаються колишніми."
 center_of_revolution.3000.desc.no_last_rev:0 "Рухи, породжені революційними ідеалами, вперше виражені в місті [revolution_center.GetCapitalName] не змогли істотно змінити становище людей. Ті, хто колись прагнув до радикальних змін, тепер змирилися зі старою приказкою: Чим більше речі змінюються, тим більше вони залишаються колишніми."
 center_of_revolution.3000.desc.never_rev:0 "Революційні ідеали, проповідувані в місті [revolution_center.GetCapitalName] не знайшли достатньої підтримки, щоб істотно змінити становище людей. Рухи, які вони породили, не змогли повалити державний устрій, як вони колись планували. Ті, хто колись прагнув до радикальних змін, тепер змирилися зі старою приказкою: Чим більше речі змінюються, тим більше вони залишаються колишніми."
 center_of_revolution.3000.A:0 "Добре, що здихалися!"
 center_of_revolution.3000.A.tt:0 "§YРеволюційні ідеали видаляються з усіх провінцій.§!"
 center_of_revolution.3000.A.tt2:0 "§YУсі центри революції видалені.§!"
 center_of_revolution.3000.B:0 "Сумний день."
 disaster_active_for_20_years_tooltip:0 "Катастрофа була активною протягом 20 років."
 no_spread_here_for_15_years_tt:0 "Революційні ідеї будуть вилучені в державі §Y[This.GetName]§!. Вони не зможуть там знову поширюватися протягом 15 років."

 french_revolution.18.d.reactionary:0 "Час повстань і постійної нестабільності, схоже, позаду. Революцію було повністю придушено, і все нарешті повернулося на свої місця."

 TURKEY_STRING:0 "Туреччина"
 TURKEY_STRING_ADJ:0 "Турецьк"
 REV_TURKEY_STRING:0 "Революційна Туреччина"
 REV_TURKEY_STRING_ADJ:0 "Турецьк"
 CHINA_STRING:0 "Китай"
 CHINA_STRING_ADJ:0 "Китайськ"
 REV_CHINA_STRING:0 "Революційний Китай"
 REV_CHINA_STRING_ADJ:0 "Китайськ"
 GURKANI_EMPIRE_STRING:0 "Імперія Тимуридів"
 GURKANI_EMPIRE_STRING_ADJ:0 "Тимуридськ"
 REV_GURKANI_EMPIRE_STRING:0 "Революційна Імперія Тимуридів"
 REV_GURKANI_EMPIRE_STRING_ADJ:0 "Тимуридськ"

 revolution.40.name:0 "Піднебесна революція"
 revolution.40.desc:0 "Революція прийшла! Велика юрба зібралася в місті [Root.Capital.GetCapitalName] щоб зажадати припинення тисячолітнього імперського режиму, який, на думку багатьох, мало що робить для більшості свого населення. Спочатку вимагаючи конституційно обмежити владу [Root.Monarch.GetTitleOGO] та збільшити власний вплив в уряді, натовп був розлючений проявами жорстокості з боку імперських сил і відбившись, взяв штурмом Заборонене місто. Коли стало відомо, як розкішно жи[Root.Monarch.GetMEndVLa] [Root.Monarch.GetTitle] [Root.Monarch.GetName], далеко не всі проявили до [Root.Monarch.GetHerHis] милосердя. Не бачачи можливості втекти, [Root.Monarch.GetName] вкороти[Root.Monarch.GetMEndVLa] собі віку, щоб уникнути приниження публічної страти.\n\nНові правителі з міста [Root.Capital.GetCapitalName] оголосили Китай республікою, пообіцявши реорганізувати державу шляхом перерозподілу земель дворянства селянству та встановленню повної рівності перед законом. Вони заявляють, що майбутнє стане краще і принесе свободу всьому народу Китаю!"
 revolution.40.A:0 "Хай живе Велика і славна Китайська Республіка!"
 revolution.41.name:0 "[Root.GetAdjective]а революція"
 revolution.41.desc:0 "Революція прийшла! Після кількох тижнів протестів численні натовпи зібралися в місті [Root.Capital.GetCapitalName], вимагаючи більшої свободи для людей Індії. Хоча [Root.Monarch.GetTitleKHTO] наказа[Root.Monarch.GetMEndVLa] своїм військам відкрити вогонь по натовпу, вони не захотіли виконувати цей наказ, оскільки демонстранти відмовилися провокувати їх, застосовуючи насильство або образи. Зіткнувшись з ще більш відчайдушними наказами [Root.Monarch.GetTitleOGO], які продовжували видаватися, вимагаючи все більше суворих покарань всіх інодумців, армія, замість цього, вирішила скинути [Root.Monarch.GetHerHis] з престолу. [Root.Monarch.GetSheHeCap] був негайно відправлений у вигнання, як тільки була проголошена нова республіка.\n\nНові правителі держави [Root.GetName] обіцяють реорганізувати державу шляхом перерозподілу землі селянству і встановленню повної рівності перед законом, усунути найгірші прояви несправедливості минулого режиму і повести всі народи Індії до світлішого і вільного майбутнього."
 revolution.41.desc2:0 "Революція прийшла! Після кількох тижнів протестів численні натовпи зібралися в місті [Root.Capital.GetCapitalName] вимагаючи більшої свободи для людей. Хоча [Root.Monarch.GetTitleKHTO] наказа[Root.Monarch.GetMEndVLa] своїм військам відкрити вогонь по натовпу, вони не захотіли виконувати цей наказ, оскільки демонстранти відмовилися провокувати їх, застосовуючи насильство або образи. Зіткнувшись з ще більш відчайдушними наказами [Root.Monarch.GetTitleOGO], які продовжували видаватися, вимагаючи все більше суворих покарань всіх інодумців, армія, замість цього, вирішила скинути [Root.Monarch.GetHerHis] з престолу. [Root.Monarch.GetSheHeCap] бу[Root.Monarch.GetMEndVLa] негайно відправлен[Root.Monarch.GetMEndAYJ] у вигнання, як тільки була проголошена Велика республіка Тимуридів.\n\nНові правителі Республіки обіцяють реорганізувати державу шляхом перерозподілу землі селянству і встановленню повної рівності перед законом, усунути найгірші прояви несправедливості минулого режиму і повести всі народи Республіки до світлішого і вільного майбутнього."
 revolution.41.A:0 "Перемога і свобода для народу!"
