l_ukrainian:
 ADA:0 "Адал"
 DGL:0 "Дагхлат"
 DGL_ADJ:0 "Дагхлатськ"
 HMI:0 "Кара Дел"
 HMI_ADJ:0 "Кара-дельськ"
 ZUN:0 "Джунгар"
 ZUN_ADJ:0 "Джунгарськ"
 KAS:0 "Яркенд"
 KAS_ADJ:0 "Яркендськ"
 KSD:0 "Хошути"
 KSD_ADJ:0 "Хошутськ"
 SYG:0 "Сариг Йогор"
 SYG_ADJ:0 "Сариг-йогорськ"
 UTS:0 "У-Цанг"
 UTS_ADJ:0 "У-Цангськ"
 KAM:0 "Кам"
 KAM_ADJ:0 "Камськ"
 GUG:0 "Гуге"
 GUG_ADJ:0 "Гугейськ"
 TMB:0 "Тімбукту"
 TMB_ADJ:0 "Тімбукськ"
 AIR:0 "Агадес"
 AIR_ADJ:0 "Агадесськ"
 MSI:0 "Мосі"
 MSI_ADJ:0 "Мосійськ"
 KTS:0 "Кацина"
 KTS_ADJ:0 "Кацинськ"
 KAN:0 "Кано"
 KAN_ADJ:0 "Канонийськ"
 FUL:0 "Фуло"
 FUL_ADJ:0 "Фуланійськ"
 BON:0 "Бономан"
 BON_ADJ:0 "Бономанськ"
 DAH:0 "Дагомея"
 DAH_ADJ:0 "Дагомейськ"
 DGB:0 "Дагомба"
 DGB_ADJ:0 "Дагомбійськ"
 JNN:0 "Дженне"
 JNN_ADJ:0 "Дженненськ"
 KBU:0 "Габу"
 KBU_ADJ:0 "Габуйськ"
 KNG:0 "Уаттара"
 KNG_ADJ:0 "Уаттарськ"
 NUP:0 "Нупе"
 NUP_ADJ:0 "Нупійськ"
 YAO:0 "Яо"
 YAO_ADJ:0 "Яойськ"
 YAT:0 "Ятенга"
 YAT_ADJ:0 "Ятенгійськ"
 ZAF:0 "Массіна"
 ZAF_ADJ:0 "Массінійськ"
 ZZZ:0 "Зарія"
 ZZZ_ADJ:0 "Зарійськ"
 ARD:0 "Ардалан"
 ARD_ADJ:0 "Ардаланськ"
 BHT:1 "Соран"
 BHT_ADJ:1 "Соранськ"
 ERE:0 "Еретна"
 ERE_ADJ:0 "Еретнідськ"
 LEB:0 "Ліван"
 LEB_ADJ:0 "Ліванськ"
 MAK:0 "Мукурра"
 MAK_ADJ:0 "Мукуррськ"
 SHM:0 "Шаммар"
 SHM_ADJ:0 "Шаммарійськ"
 ARB:0 "Аравія"
 ARB_ADJ:0 "Аравійськ"
 GRM:0 "Герміян"
 GRM_ADJ:0 "Герміянськ"
 MPH:0 "Муан Пуань"
 MPH_ADJ:0 "Пуанськ"
 LIG:0 "Лігор"
 LIG_ADJ:0 "Лігорськ"
 JOH:0 "Джохор"
 JOH_ADJ:0 "Джохорськ"
 KED:0 "Кедах"
 KED_ADJ:0 "Кедахськ"
 PRK:0 "Перак"
 PRK_ADJ:0 "Пераканськ"
 HSE:0 "Хсенві"
 HSE_ADJ:0 "Хсенвійськ"
 MYA:0 "Мон Ян"
 MYA_ADJ:0 "Мон-Янськ"
 AVA:0 "Ава"
 AVA_ADJ:0 "Аванськ"
 FEO:0 "Теодоро"
 FEO_ADJ:0 "Теодорськ"
 VOL:0 "Волинь"
 VOL_ADJ:0 "Волинськ"
 KIE:0 "Київ"
 KIE_ADJ:0 "Київськ"
 CHR:0 "Чернігів"
 CHR_ADJ:0 "Чернігівськ"
 CHU:0 "Чукчі"
 CHU_ADJ:0 "Чукотськ"
 HOD:0 "Ходинці"
 HOD_ADJ:0 "Ходинськ"
 CHV:0 "Чавчувени"
 CHV_ADJ:0 "Чавчувенськ"
 KMC:0 "Камчадали"
 KMC_ADJ:0 "Камчадальськ"
 BRT:0 "Буряти"
 BRT_ADJ:0 "Бурятськ"
 BSH:0 "Башкирія"
 BSH_ADJ:0 "Башкирськ"
 TLC:0 "Тлемсен"
 TLC_ADJ:0 "Тлемсенськ"
 MZB:0 "Мзаб"
 MZB_ADJ:0 "Мзабськ"
 TGT:0 "Туггурт"
 TGT_ADJ:0 "Туггуртськ"
 GHD:0 "Джерід"
 GHD_ADJ:0 "Джерідськ"
 FZA:0 "Фуззан"
 FZA_ADJ:0 "Фуззанськ"
 KBA:0 "Кабілія"
 KBA_ADJ:0 "Кабілійськ"
 SOS:0 "Сус"
 SOS_ADJ:0 "Суськ"
 TFL:0 "Тафілальт"
 TFL_ADJ:0 "Тафілальтськ"
 ARP:0 "Арапахо"
 ARP_ADJ:0 "Арапахойськ"
 CNK:0 "Шинук"
 CNK_ADJ:0 "Шинукськ"
 COC:0 "Кокоми"
 COC_ADJ:0 "Кокомськ"
 XIU:0 "Шкіпче"
 XIU_ADJ:0 "Шкіпськ"
 HDA:0 "Хайда"
 HDA_ADJ:0 "Хайданская"
 ITZ:0 "Іца"
 ITZ_ADJ:0 "Іцетськ"
 KIC:0 "Кіче"
 KIC_ADJ:0 "Кічейськ"
 KIO:0 "Кайова"
 KIO_ADJ:0 "Таноанськ"
 MIX:0 "Міштеки"
 MIX_ADJ:0 "Міштекськ"
 SAL:0 "Саліші"
 SAL_ADJ:0 "Саліськ"
 TAR:0 "Тараско"
 TAR_ADJ:0 "Цінцунцанськ"
 TLA:0 "Тлакоапа"
 TLA_ADJ:0 "Тлакоапськ"
 TLX:0 "Тласкала"
 TLX_ADJ:0 "Тласкальськ"
 TOT:0 "Тотонаки"
 TOT_ADJ:0 "Тотонакськ"
 WIC:0 "Вічита"
 WIC_ADJ:0 "Вічитськ"
 CLM:0 "Колима"
 CLM_ADJ:0 "Колимськ"
 BLM:0 "Бламбанган"
 BLM_ADJ:0 "Бламбанганськ"
 CRB:0 "Чиребон"
 CRB_ADJ:0 "Чиребонськ"
 DMK:0 "Демак"
 DMK_ADJ:0 "Демакськ"
 PGR:0 "Малайяпура"
 PGR_ADJ:0 "Малайпурськ"
 PLB:0 "Палембанг"
 PLB_ADJ:0 "Палембанзьк"
 PSA:0 "Пасай"
 PSA_ADJ:0 "Пасайськ"
 SAK:0 "Сіак"
 SAK_ADJ:0 "Сіакськ"
 SUN:0 "Сунда"
 SUN_ADJ:0 "Сунданськ"
 MJZ:0 "Чжурчжені"
 MJZ_ADJ:0 "Чжурчженськ"
 SRV:0 "Ширван"
 SRV_ADJ:0 "Ширванськ"
 MIN:0 "Мінь"
 MIN_ADJ:0 "Мінськ"
 YUE:0 "Юе"
 YUE_ADJ:0 "Юенськ"
 SHU:0 "Шу"
 SHU_ADJ:0 "Шуйськ"
 NNG:0 "Нінся"
 NNG_ADJ:0 "Нінсянськ"
 CHC:0 "Чу"
 CHC_ADJ:0 "Цзинчуйськ"
 TNG:0 "Тан"
 TNG_ADJ:0 "Танськ"
 QIC:0 "Ці"
 QIC_ADJ:0 "Шаньдунськ"
 YAN:0 "Янь"
 YAN_ADJ:0 "Янськ"
 JIN:0 "Цзинь"
 JIN_ADJ:0 "Цзинськ"
 LNG:0 "Лян"
 LNG_ADJ:0 "Лянськ"
 HUA:0 "Хуайхе"
 HUA_ADJ:0 "Хуайськ"
 CGS:0 "Чаншен"
 CGS_ADJ:0 "Чаншенськ"
 CAB:0 "Кариби"
 CAB_ADJ:0 "Карибськ"
 LON:0 "Леон"
 LON_ADJ:0 "Леонськ"
 ICM:0 "Ічма"
 ICM_ADJ:0 "Ічманськ"
 NUM:0 "Нюрнберг"
 NUM_ADJ:0 "Нюрнберзьк"
 AUS:0 "Австралія"
 AUS_ADJ:0 "Австралійськ"
 BTI:0 "Семіен"
 BTI_ADJ:0 "Семіенськ"
 MTH:0 "Міт"
 MTH_ADJ:0 "Миітськ"
 ADU:0 "Андалусія"
 ADU_ADJ:0 "Андалуськ"
 MEM:0 "Меммінген"
 MEM_ADJ:0 "Меммінгенськ"
 VER:0 "Ферден"
 VER_ADJ:0 "Ферденськ"
 NSA:0 "Нассау"
 NSA_ADJ:0 "Нассауськ"
 RVA:0 "Равенсбург"
 RVA_ADJ:0 "Равенсбурзьк"
 MFA:0 "Монферрат"
 MFA_ADJ:0 "Монферратськ"
 LUC:0 "Лукка"
 LUC_ADJ:0 "Лукканськ"
 LVA:0 "Лівонія"
 LVA_ADJ:0 "Лівонськ"
 EST:0 "Естонія"
 EST_ADJ:0 "Естонськ"
 SMI:0 "Лапландія"
 SMI_ADJ:0 "Лапландськ"
 ORM:0 "Ормуз"
 ORM_ADJ:0 "Ормузьк"
 KRL:0 "Карелія"
 KRL_ADJ:0 "Карельськ"
 JAI:0 "Мальта"
 JAI_ADJ:0 "Мальтійськ"
 KUB:0 "Куба"
 KUB_ADJ:0 "Кубинськ"
 KLD:0 "Калундве"
 KLD_ADJ:0 "Калундвійськ"
 YAK:0 "Яка"
 YAK_ADJ:0 "Яканськ"
 KZB:0 "Казембе"
 KZB_ADJ:0 "Казембейськ"
 KIK:0 "Кіконжа"
 KIK_ADJ:0 "Кіконжськ"
 CKW:0 "Чокве"
 CKW_ADJ:0 "Чоквенськ"
 LND:0 "Лунда"
 LND_ADJ:0 "Лунданськ"
 LUB:0 "Луба"
 LUB_ADJ:0 "Лубанськ"
 KSJ:0 "Касандже"
 KSJ_ADJ:0 "Касанджейськ"
 SYO:0 "Сойо"
 SYO_ADJ:0 "Сойонськ"
 TYO:0 "Тойо"
 TYO_ADJ:0 "Тойонськ"
 BSG:0 "Бусога"
 BSG_ADJ:0 "Бусогськ"
 BNY:0 "Буньоро"
 BNY_ADJ:0 "Буньороськ"
 KRW:0 "Карагве"
 KRW_ADJ:0 "Карагвенськ"
 BUG:0 "Буганда"
 BUG_ADJ:0 "Бугандськ"
 RWA:0 "Руанда"
 RWA_ADJ:0 "Руандськ"
 NKO:0 "Ньянколе"
 NKO_ADJ:0 "Ньянкольськ"
 BUU:0 "Бурунді"
 BUU_ADJ:0 "Бурундійськ"
 UBH:0 "Буха"
 UBH_ADJ:0 "Бухськ"
 MRA:0 "Мараві"
 MRA_ADJ:0 "Маравійськ"
 LDU:0 "Лунду"
 LDU_ADJ:0 "Лундуйськ"
 TBK:0 "Тумбука"
 TBK_ADJ:0 "Тумбукськ"
 MKU:0 "Макуа"
 MKU_ADJ:0 "Макуанськ"
 RZW:0 "Бутуа"
 RZW_ADJ:0 "Бутуанськ"
 MIR:0 "Імеріна"
 MIR_ADJ:0 "Імерінськ"
 ANT:0 "Антеморо"
 ANT_ADJ:0 "Антеморськ"
 SKA:0 "Сакалава"
 SKA_ADJ:0 "Сакалавськ"
 MFY:0 "Махафалі"
 MFY_ADJ:0 "Махафальськ"
 BTS:0 "Бецімарака"
 BTS_ADJ:0 "Бецімараканськ"
 ULS:0 "Ольстер"
 ULS_ADJ:0 "Ольстерськ"
 DMS:0 "Десмонд"
 DMS_ADJ:0 "Десмондськ"
 KID:0 "Кілдер"
 KID_ADJ:0 "Кілдерськ"
 SLN:0 "Слайго"
 SLN_ADJ:0 "Слайгонськ"
 OKA:0 "Одоєв"
 OKA_ADJ:0 "Одоєвськ"
 ICE:0 "Ісландія"
 ICE_ADJ:0 "Ісландськ"
 SLO:0 "Нітра"
 SLO_ADJ:0 "Нітранськ"
 HSC:0 "Гелдом"
 HSC_ADJ:0 "Гельськ"
 ROM:0 "Римська імперія"
 ROM_ADJ:0 "Римськ"
 DTT:0 "Дитмаршен"
 DTT_ADJ:0 "Дитмаршенськ"
 GLH:0 "Золота Орда"
 GLH_ADJ:0 "Золотоординськ"
 BEJ:0 "Беджа"
 BEJ_ADJ:0 "Беджанськ"
 JIM:0 "Джима"
 JIM_ADJ:0 "Джиманськ"
 WLY:0 "Волайта"
 WLY_ADJ:0 "Волайтськ"
 DAM:0 "Дамот"
 DAM_ADJ:0 "Дамотськ"
 HDY:0 "Гадія"
 HDY_ADJ:0 "Гадійськ"
 SOA:0 "Шоа"
 SOA_ADJ:0 "Шоанськ"
 JJI:0 "Джанджіро"
 JJI_ADJ:0 "Джанджірськ"
 ENA:0 "Еннар"
 ENA_ADJ:0 "Еннарськ"
 ABB:0 "Донгола"
 ABB_ADJ:0 "Донгольськ"
 AKM:0 "Акамацу"
 AKT:0 "Андо"
 CBA:0 "Тіба"
 ISK:0 "Іссікі"
 ITO:0 "Іто"
 KKC:0 "Кікучі"
 KNO:0 "Коно"
 OGS:0 "Огасавара"
 SHN:0 "Сьоні"
 STK:0 "Сатаке"
 TKI:0 "Токі"
 UTN:0 "Уцуномія"
 TTI:0 "Цуцуї"
 AKM_ADJ:0 "Акамацьк"
 AKT_ADJ:0 "Андонськ"
 CBA_ADJ:0 "Тібськ"
 ISK_ADJ:0 "Іссікійськ"
 ITO_ADJ:0 "Ітонськ"
 KKC_ADJ:0 "Кікучійськ"
 KNO_ADJ:0 "Кононськ"
 OGS_ADJ:0 "Огасаварськ"
 SHN_ADJ:0 "Сьонійськ"
 STK_ADJ:0 "Сатакенськ"
 TKI_ADJ:0 "Токійськ"
 UTN_ADJ:0 "Уцуномськ"
 TTI_ADJ:0 "Цуцуйськ"
 ASK:0 "Асікага"
 ASK_ADJ:0 "Асікагськ"
 MVA:0 "Моравія"
 MVA_ADJ:0 "Моравськ"
 YUA:0 "Юань"
 YUA_ADJ:0 "Юаньськ"
 BLO:0 "Білоозеро"
 BLO_ADJ:0 "Бєлозерськ"
 RSO:0 "Ростов"
 RSO_ADJ:0 "Ростовськ"
 MHR:0 "Mahra"
 MHR_ADJ:0 "Mahri"
 HDR:0 "Hadramut"
 HDR_ADJ:0 "Hadramhi"
 MDA:0 "Medina"
 MDA_ADJ:0 "Medinan"
 ANZ:0 "Anizah"
 ANZ_ADJ:0 "Anizah"
 FAD:0 "Fadl"
 FAD_ADJ:0 "Fadli"
 YAS:0 "Yas"
 YAS_ADJ:0 "Yasi"
 RAS:1 "Rassids"
 RAS_ADJ:0 "Rassid"
 YEM:0 "Yemen"
 YEM_ADJ:0 "Yemeni"
 DAW:0 "Dawasir"
 DAW_ADJ:0 "Dawasiri"
 MFL:0 "Mikhlaf"
 MFL_ADJ:0 "Mikhlafi"
 NJR:0 "Najran"
 NJR_ADJ:0 "Najrani"
 HSN:0 "Гісн Кайфа"
 HSN_ADJ:0 "Гісн-Кайфійськ"
 BTL:0 "Bitlis"
 BTL_ADJ:0 "Bitlisi"
 AVR:0 "Аварія"
 AVR_ADJ:0 "Аварськ"
 MLK:0 "Kharabakh"
 MLK_ADJ:0 "Kharabakhi"
 SME:0 "Samtskhe"
 SME_ADJ:0 "Samtskhean"
 ARL:0 "Ardabil"
 ARL_ADJ:0 "Ardabili"
 MSY:0 "Mushasha"
 MSY_ADJ:0 "Mushashan"
 RUM:0 "Rûm"
 RUM_ADJ:0 "Rûmi"
 KRY:0 "Gilan"
 KRY_ADJ:0 "Gilani"
 LRI:0 "Luristan"
 LRI_ADJ:0 "Luristani"
 SIS:0 "Sistan"
 SIS_ADJ:0 "Sistani"
 BPI:0 "Biapas"
 BPI_ADJ:0 "Biapasi"
 FRS:0 "Fars"
 FRS_ADJ:0 "Farsi"
 KRM:0 "Kerman"
 KRM_ADJ:0 "Kermani"
 YZD:0 "Yazd"
 YZD_ADJ:0 "Yazdi"
 ISF:0 "Isfahan"
 ISF_ADJ:0 "Isfahani"
 TBR:0 "Tabriz"
 TBR_ADJ:0 "Tabrizi"
 BSR:0 "Basra"
 BSR_ADJ:0 "Basran"
 MGR:0 "Maregheh"
 MGR_ADJ:0 "Mareghehi"
 QOM:0 "Ajam"
 QOM_ADJ:0 "Ajami"
 TRS:0 "Transoxiana"
 TRS_ADJ:0 "Transoxianian"
 MAS:0 "Madyas"
 MAS_ADJ:0 "Madyas"
 PGS:0 "Pangasinan"
 PGS_ADJ:0 "Pangasinan"
 TDO:0 "Tondo"
 TDO_ADJ:0 "Tondoan"
 MNA:0 "Maynila"
 MNA_ADJ:0 "Maynilan"
 CEB:0 "Cebu"
 CEB_ADJ:0 "Cebuan"
 BTU:0 "Butuan"
 BTU_ADJ:0 "Butuan"
 KTB:0 "Kitabatake"
 KTB_ADJ:0 "Kitabatake"
